URL,Address,Bedrooms,Bathrooms,Property Type,BER Rating,Price (€),lat,lon,nearest_park_km_y,nearest_beach_km_y,nearest_gym_km_y,nearest_supermarket_km_y,nearest_bus_stop_km_y,nearest_rail_station_km_y,nearest_tram_stop_km_y,nearest_park_name_y,nearest_beach_name_y,nearest_gym_name_y,nearest_supermarket_name_y,nearest_bus_stop_name_y,nearest_rail_station_name_y,nearest_tram_stop_name_y,bad_geocode,distance_to_city_centre_km,price_per_bedroom,energy_monthly_estimate,effective_monthly_cost,energy_estimate_available,effective_cost_display
https://www.daft.ie/for-rent/house-37-rathdown-drive-dublin-6w-terenure-dublin-6w/6192871,"37 Rathdown Drive, Dublin 6w, Terenure, Dublin 6W",3.0,3.0,House,C1,4000.0,53.3067446,-6.2887576,4.014,5.761,4.277,2.259,3.602,4.469,3.235,St Stephen's Green,Sandymount Strand,FlyeFit Georges St,Lidl Rathmines,Leeson St Lwr Stop,Heuston Station,Charlemont Luas,False,5.147042191615727,1333.0,166.0,4166.0,True,4166.0
https://www.daft.ie/for-rent/house-12-larkfield-glade-dublin-18-leopardstown-dublin-18/6219294,"12 Larkfield Glade, Dublin 18, Leopardstown, Dublin 18",4.0,3.0,House,A3,3995.0,53.2576949,-6.2002853,9.634,6.245,2.157,2.73,9.183,10.086,8.854,Merrion Square Park,Killiney Beach,Raw Gyms Sandyford,SuperValu Balally,Leeson St Lwr Stop,Pearse Station,Charlemont Luas,False,10.990600646386458,999.0,64.0,4059.0,True,4059.0
https://www.daft.ie/for-rent/apartment--grove-park-rathmines-dublin-6/6213921,"Grove Park, Rathmines, Dublin 6",1.0,1.0,Studio,BER Exempt,2100.0,53.3291709,-6.2674421,1.147,3.775,1.457,0.955,0.814,2.106,0.614,St Stephen's Green,Sandymount Strand,FlyeFit Georges St,Lidl Rathmines,Leeson St Lwr Stop,Pearse Station,Charlemont Luas,False,2.342348134869355,2100.0,,,False,2100.0
https://www.daft.ie/for-rent/house-frankfort-avenue-rathgar-dublin-6/6211743,"Frankfort Avenue, Rathgar, Dublin 6",3.0,3.0,House,BER Exempt,4617.0,53.3161259,-6.267333,2.515,4.039,2.891,0.56,1.998,3.357,1.596,St Stephen's Green,Sandymount Strand,FlyeFit Georges St,Lidl Rathmines,Leeson St Lwr Stop,Pearse Station,Charlemont Luas,False,3.7733990925997887,1539.0,,,False,4617.0
https://www.daft.ie/for-rent/flat-phibsborough-road-phibsborough-dublin-7/6179948,"Phibsborough Road, Phibsborough, Dublin 7",1.0,1.0,Studio,C1,1500.0,53.3632964,-6.2723179,2.925,5.582,2.447,0.2,0.256,2.083,1.763,St Stephen's Green,Sandymount Strand,FlyeFit Georges St,Aldi Phibsborough,Phibsborough Rd Stop,Connolly Station,Abbey Street Luas,False,1.6995017208535086,1500.0,166.0,1666.0,True,1666.0
https://www.daft.ie/for-rent/house-40-diswellstown-drive-hamilton-park-castleknock-dublin-15/6220252,"40 Diswellstown Drive, Hamilton Park, Castleknock, Dublin 15",4.0,3.0,House,A3,3750.0,53.3669361,-6.3842744,3.78,12.268,8.513,7.448,7.479,6.535,8.45,Phoenix Park,Sandymount Strand,FlyeFit Georges St,Aldi Phibsborough,Phibsborough Rd Stop,Heuston Station,Abbey Street Luas,False,8.444963454064672,938.0,64.0,3814.0,True,3814.0
https://www.daft.ie/for-rent/studio-apartment-killinarden-estate-dublin-24-tallaght-dublin-24/6203313,"Killinarden Estate, Dublin 24, Tallaght, Dublin 24",1.0,1.0,Studio,BER Exempt,1400.0,53.2800342,-6.388619,9.385,13.031,10.822,9.429,10.543,9.835,10.258,Phoenix Park,Sandymount Strand,FlyeFit Georges St,Lidl Rathmines,Leeson St Lwr Stop,Heuston Station,Charlemont Luas,False,11.525715786276235,1400.0,,,False,1400.0
https://www.daft.ie/for-rent/apartment-smithfield-market-smithfield-dublin-7/6216972,"Smithfield Market, Smithfield, Dublin 7",1.0,1.0,Apartment,D2,2300.0,53.3482499,-6.2783247,1.696,4.97,1.232,1.525,1.209,0.9,1.187,St Stephen's Green,Sandymount Strand,FlyeFit Georges St,Aldi Phibsborough,O'Connell St Stop,Heuston Station,Abbey Street Luas,False,1.2087699587064482,2300.0,286.0,2586.0,True,2586.0
https://www.daft.ie/for-rent/house--warners-lane-dublin-6-ranelagh-dublin-6/6218044,"Warner's Lane, Dublin 6, Ranelagh, Dublin 6",3.0,3.0,House,A2,6500.0,53.33166,-6.2536005,0.814,2.869,1.308,1.398,0.27,1.42,0.396,St Stephen's Green,Sandymount Strand,FlyeFit Georges St,Lidl Rathmines,Leeson St Lwr Stop,Pearse Station,Charlemont Luas,False,2.0655317708031378,2167.0,38.0,6538.0,True,6538.0
https://www.daft.ie/for-rent/studio-apartment-27-nutley-park-dublin-4-donnybrook-dublin-4/6217315,"27 Nutley Park, Dublin 4, Donnybrook, Dublin 4",1.0,1.0,Studio,BER Exempt,1700.0,53.3128824,-6.2202687,3.494,1.925,4.147,0.839,3.31,3.894,3.118,Merrion Square Park,Sandymount Strand,Raw Gyms Sandyford,Tesco Merrion,Leeson St Lwr Stop,Pearse Station,Charlemont Luas,False,4.890571202558858,1700.0,,,False,1700.0
