URL,Address,Bedrooms,Bathrooms,Property Type,BER Rating,Price (€),lat,lon,nearest_park_km_y,nearest_beach_km_y,nearest_gym_km_y,nearest_supermarket_km_y,nearest_bus_stop_km_y,nearest_rail_station_km_y,nearest_tram_stop_km_y,nearest_park_name_y,nearest_beach_name_y,nearest_gym_name_y,nearest_supermarket_name_y,nearest_bus_stop_name_y,nearest_rail_station_name_y,nearest_tram_stop_name_y,distance_to_city_centre_km,price_per_bedroom,energy_monthly_estimate,effective_monthly_cost
https://www.daft.ie/for-rent/house-37-rathdown-drive-dublin-6w-terenure-dublin-6w/6192871,"37 Rathdown Drive, Dublin 6w, Terenure, Dublin 6W",3.0,3.0,House,C1,4000.0,53.3067446,-6.2887576,4.014,5.761,4.277,2.259,3.602,4.469,3.235,St Stephen's Green,Sandymount Strand,FlyeFit Georges St,Lidl Rathmines,Leeson St Lwr Stop,Heuston Station,Charlemont Luas,5.147042191615727,1333.3333333333333,140.0,4140.0
https://www.daft.ie/for-rent/apartment-the-pines-herbert-park-lane-ballsbridge-dublin-4/6218476,"The Pines, Herbert Park Lane, Ballsbridge, Dublin 4",2.0,2.0,Apartment,C1,3178.0,38.1593008,-78.4872341,5586.767,5595.179,5591.323,5590.362,5590.401,5589.487,5591.447,Phoenix Park,Sandymount Strand,Ben Dunne Gym Northside,Aldi Phibsborough,Phibsborough Rd Stop,Heuston Station,Abbey Street Luas,5591.434238356863,1589.0,140.0,3318.0
https://www.daft.ie/for-rent/apartment-the-pines-herbert-park-lane-ballsbridge-dublin-4/6218476,"The Pines, Herbert Park Lane, Ballsbridge, Dublin 4",2.0,2.0,Apartment,C1,3178.0,38.1593008,-78.4872341,5586.767,5595.179,5591.323,5590.362,5590.401,5589.487,5591.447,Phoenix Park,Sandymount Strand,Ben Dunne Gym Northside,Aldi Phibsborough,Phibsborough Rd Stop,Heuston Station,Abbey Street Luas,5591.434238356863,1589.0,140.0,3318.0
https://www.daft.ie/for-rent/apartment-2-bedroom-apartment-shackleton-point-shackleton-park-lucan-co-dublin/3503104,"2 Bedroom Apartment , Shackleton Point, Shackleton Park, Lucan, Co. Dublin",2.0,2.0,Apartment,A2,2259.0,44.9951619,-83.8715598,5429.09,5437.577,5432.718,5432.382,5432.429,5431.854,5433.656,Phoenix Park,Sandymount Strand,Ben Dunne Gym Northside,Aldi Phibsborough,Phibsborough Rd Stop,Heuston Station,Abbey Street Luas,5433.629837921387,1129.5,50.0,2309.0
https://www.daft.ie/for-rent/house-12-larkfield-glade-dublin-18-leopardstown-dublin-18/6219294,"12 Larkfield Glade, Dublin 18, Leopardstown, Dublin 18",4.0,3.0,House,A3,3995.0,53.2576949,-6.2002853,9.634,6.245,2.157,2.73,9.183,10.086,8.854,Merrion Square Park,Killiney Beach,Raw Gyms Sandyford,SuperValu Balally,Leeson St Lwr Stop,Pearse Station,Charlemont Luas,10.990600646386458,998.75,50.0,4045.0
https://www.daft.ie/for-rent/apartment--grove-park-rathmines-dublin-6/6213921,"Grove Park, Rathmines, Dublin 6",1.0,1.0,Studio,BER Exempt,2100.0,53.3291709,-6.2674421,1.147,3.775,1.457,0.955,0.814,2.106,0.614,St Stephen's Green,Sandymount Strand,FlyeFit Georges St,Lidl Rathmines,Leeson St Lwr Stop,Pearse Station,Charlemont Luas,2.342348134869355,2100.0,80.0,2180.0
https://www.daft.ie/for-rent/apartment--grove-park-rathmines-dublin-6/6213921,"Grove Park, Rathmines, Dublin 6",1.0,1.0,Studio,BER Exempt,2100.0,53.3291709,-6.2674421,1.147,3.775,1.457,0.955,0.814,2.106,0.614,St Stephen's Green,Sandymount Strand,FlyeFit Georges St,Lidl Rathmines,Leeson St Lwr Stop,Pearse Station,Charlemont Luas,2.342348134869355,2100.0,80.0,2180.0
https://www.daft.ie/for-rent/apartment--grove-park-rathmines-dublin-6/6213921,"Grove Park, Rathmines, Dublin 6",1.0,1.0,Studio,BER Exempt,2100.0,53.3291709,-6.2674421,1.147,3.775,1.457,0.955,0.814,2.106,0.614,St Stephen's Green,Sandymount Strand,FlyeFit Georges St,Lidl Rathmines,Leeson St Lwr Stop,Pearse Station,Charlemont Luas,2.342348134869355,2100.0,80.0,2180.0
https://www.daft.ie/for-rent/apartment--grove-park-rathmines-dublin-6/6213921,"Grove Park, Rathmines, Dublin 6",1.0,1.0,Studio,BER Exempt,2100.0,53.3291709,-6.2674421,1.147,3.775,1.457,0.955,0.814,2.106,0.614,St Stephen's Green,Sandymount Strand,FlyeFit Georges St,Lidl Rathmines,Leeson St Lwr Stop,Pearse Station,Charlemont Luas,2.342348134869355,2100.0,80.0,2180.0
https://www.daft.ie/for-rent/apartment--grove-park-rathmines-dublin-6/6213921,"Grove Park, Rathmines, Dublin 6",1.0,1.0,Studio,BER Exempt,2100.0,53.3291709,-6.2674421,1.147,3.775,1.457,0.955,0.814,2.106,0.614,St Stephen's Green,Sandymount Strand,FlyeFit Georges St,Lidl Rathmines,Leeson St Lwr Stop,Pearse Station,Charlemont Luas,2.342348134869355,2100.0,80.0,2180.0
